n_partido,resultado,goles_totales,goles_uc,goles_rival,condicion
1,1.0,3,3,0,Visita
2,0.5,2,1,1,Local
3,0.5,0,0,0,Local
4,0.5,2,1,1,Visita
5,0.0,1,0,1,Local
6,0.0,2,0,2,Visita
7,0.0,5,2,3,Local
8,1.0,2,2,0,Visita
9,0.5,2,1,1,Local
10,1.0,3,2,1,Visita
11,0.0,3,1,2,Local
12,0.0,2,0,2,Visita
13,0.5,4,2,2,Local
14,1.0,2,2,0,Local
15,1.0,2,2,0,Visita
16,0.5,6,3,3,Local
17,0.5,0,0,0,Visita
18,1.0,4,3,1,Local
19,1.0,1,1,0,Visita
20,0.0,4,0,4,Visita
21,0.5,2,1,1,Local
22,0.5,0,0,0,Local
23,1.0,1,1,0,Visita
24,0.5,2,1,1,Local
25,0.0,3,1,2,Visita
26,0.5,4,2,2,Local
27,1.0,3,2,1,Local
28,1.0,3,3,0,Visita
29,1.0,3,2,1,Visita
30,0.0,5,2,3,Local
31,1.0,2,2,0,Visita
32,1.0,1,1,0,Local
33,1.0,1,1,0,Local
34,0.5,2,1,1,Visita
35,0.5,2,1,1,Visita
36,0.0,1,0,1,Local
37,1.0,1,1,0,Visita
38,1.0,1,1,0,Local
39,1.0,1,1,0,Visita
40,1.0,1,1,0,Local
41,0.5,2,1,1,Visita
42,1.0,2,2,0,Local
43,0.5,0,0,0,Visita
44,1.0,4,3,1,Local
45,1.0,2,2,0,Visita
46,0.5,2,1,1,Visita
47,1.0,3,2,1,Local
48,0.5,2,1,1,Visita
49,0.5,0,0,0,Local
50,1.0,3,2,1,Visita
51,1.0,2,2,0,Visita
52,1.0,6,6,0,Visita
53,0.5,2,1,1,Local
54,1.0,3,2,1,Visita
55,0.5,4,2,2,Local
56,0.0,3,0,3,Visita
57,0.0,3,1,2,Visita
58,1.0,2,2,0,Local
59,0.0,5,1,4,Visita
60,0.0,3,1,2,Local
61,0.0,3,0,3,Visita
62,0.0,3,1,2,Local
63,0.0,1,0,1,Visita
64,0.5,2,1,1,Local
65,1.0,3,2,1,Visita
66,0.0,1,0,1,Local
67,0.5,4,2,2,Visita
68,0.0,4,1,3,Visita
69,0.5,2,1,1,Local
70,0.0,1,0,1,Visita
71,1.0,3,2,1,Local
72,0.0,4,1,3,Visita
73,0.0,7,3,4,Local
74,0.0,3,1,2,Local
75,0.0,7,3,4,Visita
76,1.0,1,1,0,Local
77,1.0,5,3,2,Visita
78,0.0,5,2,3,Local
79,0.5,2,1,1,Visita
80,1.0,4,4,0,Local
81,0.5,8,4,4,Visita
82,0.0,4,1,3,Local
83,0.0,3,1,2,Local
84,0.0,5,1,4,Visita
85,0.0,5,2,3,Local
86,0.5,2,1,1,Visita
87,0.5,2,1,1,Local
88,0.0,3,1,2,Visita
89,0.0,2,0,2,Visita
90,1.0,3,2,1,Local
91,0.0,6,1,5,Visita
92,0.0,6,1,5,Local
93,0.0,3,1,2,Visita
94,0.5,2,1,1,Local
95,0.0,4,1,3,Visita
96,0.0,6,2,4,Local
97,0.5,2,1,1,Visita
98,1.0,3,2,1,Visita
99,0.5,0,0,0,Visita
100,0.0,3,1,2,Visita
101,1.0,5,3,2,Local
102,0.0,1,0,1,Visita
103,0.5,0,0,0,Local
104,1.0,3,2,1,Visita
105,1.0,3,2,1,Visita
106,0.0,8,2,6,Local
107,0.0,3,1,2,Local
108,0.0,5,1,4,Local
109,0.5,0,0,0,Visita
110,0.0,1,0,1,Visita
111,0.0,3,1,2,Local
112,1.0,1,1,0,Visita
113,1.0,3,2,1,Local
114,0.0,4,1,3,Visita
115,0.5,4,2,2,Local
116,0.0,2,0,2,Visita
117,1.0,3,3,0,Local
118,0.0,3,1,2,Local
119,0.0,5,2,3,Visita
120,0.5,2,1,1,Local
121,1.0,1,1,0,Local
122,0.0,6,1,5,Visita
123,1.0,1,1,0,Local
124,0.0,3,0,3,Visita
125,0.0,6,2,4,Visita
126,0.5,2,1,1,Local
127,1.0,3,2,1,Local
128,0.0,2,0,2,Visita
129,1.0,3,2,1,Local
130,0.0,1,0,1,Visita
131,0.0,3,1,2,Visita
132,0.0,1,0,1,Local
133,0.0,3,1,2,Visita
134,0.5,0,0,0,Local
135,0.0,5,2,3,Visita
136,0.0,1,0,1,Local
137,0.5,2,1,1,Visita
138,0.5,2,1,1,Local
139,0.0,2,0,2,Visita
140,0.0,1,0,1,Local
141,0.0,2,0,2,Visita
142,1.0,1,1,0,Local
143,0.0,4,0,4,Visita
144,1.0,3,2,1,Visita
145,0.5,0,0,0,Local
146,1.0,1,1,0,Visita
147,0.5,2,1,1,Local
148,0.5,2,1,1,Visita
149,0.0,1,0,1,Local
150,1.0,1,1,0,Visita
151,1.0,4,3,1,Local
152,1.0,1,1,0,Local
153,0.0,8,3,5,Visita
154,0.5,4,2,2,Visita
155,0.0,5,2,3,Visita
156,0.0,4,1,3,Local
157,1.0,1,1,0,Visita
158,0.0,2,0,2,Visita
